Nome,Squadra,MvH,FvH,MvH_Classification,FvH_Classification
ADOPO,Atalanta,6.314,6.975,A,A
BAKKER,Atalanta,0.0,0.0,D,D
CARNESECCHI,Atalanta,6.35,4.63,A,D
DE KETELAERE,Atalanta,6.0969999999999995,7.147,B,A
DE ROON,Atalanta,35.8,36.07,A,A
DEMIRAL,Atalanta,24.41,24.85,A,A
DJIMSITI,Atalanta,34.980000000000004,34.900000000000006,A,A
EDERSON D.S.,Atalanta,6.0865,6.2705,B,B
HATEBOER,Atalanta,29.889999999999997,30.580000000000002,A,A
HATEBOER,Atalanta,29.889999999999997,30.580000000000002,A,A
HOLM,Atalanta,6.06,6.17,B,B
KOLASINAC,Atalanta,6.0,6.0,B,B
KOOPMEINERS,Atalanta,6.329000000000001,6.884,A,A
LATTE LATH,Atalanta,0.0,0.0,D,D
LOOKMAN,Atalanta,5.7909999999999995,6.051,C,C
MAEHLE,Atalanta,5.8635,6.0145,C,B
MIRANCHUK,Atalanta,6.0075,6.608500000000001,B,B
MURIEL,Atalanta,31.06,35.95,A,A
MUSSO,Atalanta,30.88,24.299999999999997,A,A
PALOMINO,Atalanta,30.02,30.07,A,A
PASALIC,Atalanta,29.66,32.92,A,A
ROSSI F.,Atalanta,5.85,4.85,B,C
RUGGERI,Atalanta,22.95,23.36,A,A
SCALVINI,Atalanta,5.9115,5.990500000000001,B,C
SCAMACCA,Atalanta,24.64,26.94,A,A
TOLOI,Atalanta,30.14,30.48,A,A
TOURE' E.,Atalanta,0.0,0.0,D,D
ZAPPACOSTA,Atalanta,29.669999999999998,30.85,A,A
ZORTEA,Atalanta,6.067,6.459,B,A
AEBISCHER,Bologna,5.8975,5.8565000000000005,C,D
AMEY,Bologna,6.5,6.5,A,A
BAGNOLINI,Bologna,0.0,0.0,D,D
BARROW,Bologna,30.25,33.47,A,A
BEUKEMA,Bologna,6.0,6.0,B,B
BONIFAZI,Bologna,29.2,28.990000000000002,A,A
CALAFIORI,Bologna,5.734,5.584,C,D
CORAZZA,Bologna,5.5,5.5,D,D
DE SILVESTRI,Bologna,29.61,30.75,A,A
DOMINGUEZ,Bologna,23.97,24.09,A,A
EL AZZOUZI,Bologna,6.0,6.0,B,C
FABBIAN,Bologna,0.0,0.0,D,D
FERGUSON,Bologna,6.422,7.654999999999999,A,A
FREULER,Bologna,24.56,25.25,A,A
KARLSSON,Bologna,6.0,6.0,B,C
KRISTIANSEN,Bologna,0.0,0.0,D,D
LUCUMI',Bologna,5.773999999999999,5.728999999999999,C,D
LYKOGIANNIS,Bologna,34.47,35.31,A,A
MORO N.,Bologna,6.186999999999999,6.265,B,B
NDOYE,Bologna,6.25,6.25,A,B
ORSOLINI,Bologna,36.03,39.339999999999996,A,A
POSCH,Bologna,5.860999999999999,5.853999999999999,C,C
PYYHTIA,Bologna,5.999999999999999,6.231,C,B
RAIMONDO,Bologna,6.0,6.0,B,C
RAVAGLIA F.,Bologna,5.88,3.38,B,D
SAELEMAEKERS,Bologna,5.9795,6.159000000000001,C,C
SCHOUTEN,Bologna,5.961,6.0245,C,C
SKORUPSKI,Bologna,37.379999999999995,30.27,A,A
SOSA,Bologna,5.39,5.28,D,D
SOUMAORO,Bologna,5.862500000000001,5.6805,C,D
URBANSKI,Bologna,5.5,5.5,D,D
VAN HOOIJDONK,Bologna,6.0,6.0,B,C
VIGNATO,Bologna,23.91,24.86,A,A
ZIRKZEE,Bologna,6.064,6.361000000000001,B,C
ALTARE,Cagliari,5.97,6.0,B,B
ARESTI,Cagliari,0.0,0.0,D,D
AUGELLO,Cagliari,23.07,23.55,A,A
AZZI,Cagliari,5.75,5.75,C,D
CAPRADOSSI,Cagliari,6.35,6.35,A,A
DEIOLA,Cagliari,23.15,23.169999999999998,A,A
DI PARDO,Cagliari,6.0,6.0,B,B
DOSSENA,Cagliari,5.5,5.5,D,D
GOLDANIGA,Cagliari,28.48,28.21,A,A
JANKTO,Cagliari,23.490000000000002,24.39,A,A
KOURFALIDIS,Cagliari,6.0,6.0,B,C
LAPADULA,Cagliari,5.736000000000001,6.2045,C,C
LELLA,Cagliari,0.0,0.0,D,D
LUVUMBO,Cagliari,6.0,6.0,B,C
MAKOUMBOU,Cagliari,5.75,5.75,D,D
MANCOSU,Cagliari,0.0,0.0,D,D
NANDEZ,Cagliari,6.076499999999999,6.0975,B,C
OBERT,Cagliari,5.614,5.614,D,D
ORISTANIO,Cagliari,5.75,5.75,D,D
PAVOLETTI,Cagliari,29.87,32.89,A,A
PETAGNA,Cagliari,30.3,34.1,A,A
PRATI,Cagliari,0.0,0.0,D,D
RADUNOVIC,Cagliari,6.274,5.3759999999999994,A,B
ROG,Cagliari,23.75,24.21,A,A
SCUFFET,Cagliari,5.822,4.285,B,D
SHOMURODOV,Cagliari,23.53,25.169999999999998,A,A
SULEMANA I.,Cagliari,5.800999999999999,5.755999999999999,C,D
VIOLA,Cagliari,6.0705,6.7115,B,B
WIETESKA,Cagliari,0.0,0.0,D,D
ZAPPA,Cagliari,5.708500000000001,5.657,C,D
BALDANZI,Empoli,6.097500000000001,6.327,B,B
BELARDINELLI,Empoli,0.0,0.0,D,D
BERESZYNSKI,Empoli,28.640000000000004,28.5,A,A
BERISHA,Empoli,6.02,4.8435,B,C
CACACE,Empoli,5.594,5.5024999999999995,D,D
CAMBIAGHI,Empoli,6.071999999999999,6.27,B,C
CANCELLIERI,Empoli,5.804500000000001,5.8795,C,D
CAPRILE,Empoli,5.0,4.0,C,D
CAPUTO,Empoli,29.83,33.86,A,A
CROCIATA,Empoli,5.828500000000001,5.8795,C,D
DEGLI INNOCENTI,Empoli,0.0,0.0,D,D
DESTRO,Empoli,29.96,34.4,A,A
EBUEHI,Empoli,5.8275,6.074,C,B
EKONG,Empoli,0.0,0.0,D,D
FAZZINI,Empoli,5.619999999999999,5.59,D,D
GRASSI,Empoli,35.03,34.49,A,A
GUARINO,Empoli,0.0,0.0,D,D
GYASI,Empoli,22.759999999999998,23.53,A,A
HAAS,Empoli,22.93,22.54,A,A
HENDERSON L.,Empoli,5.880999999999999,5.832,C,D
ISMAJLI,Empoli,22.78,22.36,A,A
KOVALENKO,Empoli,5.902,5.936999999999999,C,D
LUPERTO,Empoli,27.990000000000002,27.82,A,A
MALDINI,Empoli,6.148,6.651999999999999,B,B
MALEH,Empoli,5.887999999999999,5.91,C,D
MARIN,Empoli,23.87,24.44,A,A
PERISAN,Empoli,5.3629999999999995,3.5789999999999997,C,D
PEZZELLA GIU.,Empoli,33.92,33.620000000000005,A,A
RANOCCHIA F.,Empoli,6.17,6.42,B,B
SHPENDI S.,Empoli,5.75,5.75,C,D
STOJANOVIC,Empoli,5.739,5.7059999999999995,C,D
STUBLJAR,Empoli,0.0,0.0,D,D
TONELLI,Empoli,28.169999999999998,28.39,A,A
WALUKIEWICZ,Empoli,5.6885,5.6345,D,D
AMATUCCI,Fiorentina,0.0,0.0,D,D
AMRABAT,Fiorentina,6.024,5.987000000000001,B,D
ARTHUR MELO,Fiorentina,6.5,7.0,A,A
BARAK,Fiorentina,29.65,32.22,A,A
BELTRAN L.,Fiorentina,6.0,6.0,B,C
BENASSI,Fiorentina,23.32,24.2,A,A
BIRAGHI,Fiorentina,36.53,40.650000000000006,A,A
BONAVENTURA,Fiorentina,37.35,42.129999999999995,A,A
BREKALO,Fiorentina,6.114000000000001,6.1715,B,C
CABRAL,Fiorentina,6.146999999999999,7.078999999999999,B,B
CASTROVILLI,Fiorentina,6.026,6.2379999999999995,B,B
CHRISTENSEN O.,Fiorentina,6.0,4.0,B,D
DODO',Fiorentina,5.9639999999999995,5.994,B,C
DUNCAN,Fiorentina,36.44,41.209999999999994,A,A
GONZALEZ N.,Fiorentina,6.324000000000001,7.525500000000001,A,A
IKONE',Fiorentina,5.982,6.3309999999999995,C,B
INFANTINO,Fiorentina,0.0,0.0,D,D
JOVIC,Fiorentina,5.98,6.56,B,B
KAYODE,Fiorentina,7.0,7.0,A,A
KOKORIN,Fiorentina,5.924999999999999,5.885999999999999,B,D
KOUAME',Fiorentina,5.8375,6.0825000000000005,C,C
MANDRAGORA,Fiorentina,35.94,38.05,A,A
MARTINELLI T.,Fiorentina,0.0,0.0,D,D
MARTINEZ QUARTA,Fiorentina,22.62,22.1,A,A
MILENKOVIC,Fiorentina,35.58,35.589999999999996,A,A
MINA,Fiorentina,0.0,0.0,D,D
NZOLA,Fiorentina,24.04,26.98,A,A
PARISI,Fiorentina,5.977500000000001,5.968500000000001,B,C
PIEROZZI,Fiorentina,0.0,0.0,D,D
RANIERI L.,Fiorentina,6.117500000000001,6.071000000000001,B,B
SABIRI,Fiorentina,5.891,6.130999999999999,C,C
SOTTIL,Fiorentina,23.75,24.54,A,A
TERRACCIANO,Fiorentina,30.57,25.55,A,A
BAEZ,Frosinone,6.1,6.1,B,C
BARRENECHEA,Frosinone,6.199999999999999,5.85,B,D
BIDAOUI,Frosinone,0.0,0.0,D,D
BORRELLI,Frosinone,6.0,6.0,B,C
BOURABIA,Frosinone,23.65,24.24,A,A
BRESCIANINI,Frosinone,6.0,6.0,B,C
CASO,Frosinone,6.5,6.5,A,B
CEROFOLINI,Frosinone,6.38,5.5,A,A
CHEDDIRA,Frosinone,6.0,6.0,B,C
CUNI,Frosinone,6.0,6.0,B,C
FRATTALI,Frosinone,6.5,4.5,A,D
GARRITANO,Frosinone,6.332,6.332,A,B
GELLI,Frosinone,5.75,5.5,D,D
HAOUDI,Frosinone,0.0,0.0,D,D
HARROUI,Frosinone,6.131,6.911,B,A
KAIO JORGE,Frosinone,5.75,5.75,C,D
KALAJ,Frosinone,0.0,0.0,D,D
KLITTEN,Frosinone,0.0,0.0,D,D
KVERNADZE,Frosinone,5.5,5.5,D,D
LIROLA,Frosinone,5.944000000000001,6.077,B,B
LULIC K.,Frosinone,0.0,0.0,D,D
MARCHIZZA,Frosinone,23.57,23.31,A,A
MATEUS LUSUARDI,Frosinone,0.0,0.0,D,D
MAZZITELLI,Frosinone,5.729,5.566000000000001,D,D
MONTERISI,Frosinone,6.25,7.75,A,A
OKOLI,Frosinone,5.71,5.61,C,D
OYONO,Frosinone,5.75,5.5,C,D
PALMISANI,Frosinone,0.0,0.0,D,D
REINIER,Frosinone,0.0,0.0,D,D
ROMAGNOLI S.,Frosinone,23.01,23.09,A,A
SOULE',Frosinone,6.14,6.57,B,B
SZYMINSKI,Frosinone,0.0,0.0,D,D
TURATI,Frosinone,5.5,2.5,B,D
ARAMU,Genoa,6.14,6.77,B,B
BADELJ,Genoa,29.43,29.49,A,A
BANI,Genoa,28.86,27.97,A,A
BIRASCHI,Genoa,29.08,31.720000000000002,A,A
CODA M.,Genoa,0.0,0.0,D,D
DE WINTER,Genoa,5.73,5.62,C,D
DRAGUSIN,Genoa,5.9159999999999995,5.900999999999999,B,C
EKUBAN,Genoa,5.912999999999999,5.951999999999999,B,D
FRENDRUP,Genoa,5.9399999999999995,6.1,C,C
GUDMUNDSSON A.,Genoa,6.428999999999999,6.471,A,B
HAPS,Genoa,5.84,5.88,C,C
HEFTI,Genoa,5.767999999999999,5.7589999999999995,C,D
JAGIELLO,Genoa,5.0,5.0,D,D
KUTLU,Genoa,0.0,0.0,D,D
LEALI,Genoa,0.0,0.0,D,D
MALINOVSKYI,Genoa,24.15,25.7,A,A
MARTIN,Genoa,6.0,6.0,B,B
MARTINEZ JO.,Genoa,6.0,4.0,B,D
MATTURRO,Genoa,0.0,0.0,D,D
MELEGONI,Genoa,5.959,6.017999999999999,C,C
MESSIAS,Genoa,6.0360000000000005,6.6754999999999995,B,B
PAJAC,Genoa,6.0,6.35,B,A
PUSCAS,Genoa,5.45,5.73,D,D
RETEGUI,Genoa,6.25,7.5,A,A
SABELLI,Genoa,5.912999999999999,5.85,B,C
SOMMARIVA,Genoa,0.0,0.0,D,D
STROOTMAN,Genoa,29.229999999999997,29.02,A,A
THORSBY,Genoa,5.7635,5.877,D,D
VASQUEZ,Genoa,5.8905,5.8759999999999994,C,C
VOGLIACCO,Genoa,0.0,0.0,D,D
YALCIN,Genoa,0.0,0.0,D,D
ACERBI,Inter,30.07,30.36,A,A
ARNAUTOVIC,Inter,6.389,7.547000000000001,A,A
ASLLANI,Inter,5.944,5.946,C,D
AUDERO,Inter,24.84,19.17,A,A
BARELLA,Inter,37.55,39.18,A,A
BASTONI,Inter,37.14,37.33,A,A
BISSECK,Inter,0.0,0.0,D,D
BISSECK,Inter,0.0,0.0,D,D
CALHANOGLU,Inter,37.61,40.37,A,A
CARLOS AUGUSTO,Inter,6.047999999999999,6.228,B,B
CORREA,Inter,24.25,26.79,A,A
CUADRADO,Inter,36.589999999999996,38.27,A,A
DARMIAN,Inter,24.64,25.42,A,A
DE VRIJ,Inter,36.78,37.36,A,A
DI GENNARO,Inter,0.0,0.0,D,D
DIMARCO,Inter,31.11,32.84,A,A
DUMFRIES,Inter,6.174500000000001,6.7155,A,A
ESPOSITO,Inter,0.0,0.0,D,D
FRATTESI,Inter,6.181,6.5675,B,B
GOSENS,Inter,30.57,32.68,A,A
MARTINEZ L.,Inter,32.83,42.64,A,A
MKHITARYAN,Inter,24.880000000000003,26.95,A,A
PAVARD,Inter,0.0,0.0,D,D
SANCHEZ,Inter,6.211999999999999,7.039,A,B
SENSI,Inter,30.0,30.86,A,A
SOMMER,Inter,6.0,6.0,B,A
STANKOVIC F.,Inter,0.0,0.0,D,D
THURAM,Inter,6.75,7.25,A,A
ALEX SANDRO,Juventus,35.559999999999995,35.849999999999994,A,A
BONUCCI,Juventus,30.029999999999998,31.130000000000003,A,A
BREMER,Juventus,29.77,30.439999999999998,A,A
CAMBIASO,Juventus,6.0714999999999995,6.237500000000001,B,B
CHIESA,Juventus,37.78,42.33,A,A
DANILO,Juventus,25.13,25.36,A,A
DE SCIGLIO,Juventus,30.259999999999998,30.65,A,A
FAGIOLI,Juventus,5.984500000000001,6.2835,C,B
GATTI,Juventus,5.94,5.81,B,C
GONZALEZ F.,Juventus,0.0,0.0,D,D
HUIJSEN,Juventus,0.0,0.0,D,D
ILING JUNIOR,Juventus,6.232,6.710999999999999,A,B
KEAN,Juventus,23.88,27.31,A,A
KOSTIC,Juventus,6.11,6.6,B,B
LOCATELLI,Juventus,36.21,36.589999999999996,A,A
MCKENNIE,Juventus,24.05,25.21,A,A
MILIK,Juventus,24.28,27.560000000000002,A,A
MIRETTI,Juventus,5.974,6.013,C,C
NICOLUSSI CAVIGLIA,Juventus,5.811,5.936999999999999,C,D
PERIN,Juventus,36.92,30.64,A,A
PINSOGLIO,Juventus,24.0,19.0,A,A
POGBA,Juventus,5.999999999999999,5.999999999999999,C,D
RABIOT,Juventus,24.31,26.560000000000002,A,A
RUGANI,Juventus,29.82,30.54,A,A
SZCZESNY,Juventus,37.65,34.11,A,A
VLAHOVIC,Juventus,31.349999999999998,39.64,A,A
WEAH,Juventus,6.0,6.0,B,C
YILDIZ,Juventus,0.0,0.0,D,D
ADAMONIS,Lazio,0.0,0.0,D,D
BASIC,Lazio,5.954999999999999,6.09,C,C
CASALE,Lazio,5.9775,5.982,B,C
CASTELLANOS,Lazio,0.0,0.0,D,D
CATALDI,Lazio,35.42,35.6,A,A
FELIPE ANDERSON,Lazio,24.04,26.31,A,A
GILA,Lazio,5.5,5.5,D,D
GUENDOUZI,Lazio,0.0,0.0,D,D
HYSAJ,Lazio,29.229999999999997,29.340000000000003,A,A
IMMOBILE,Lazio,37.32,47.81,A,A
ISAKSEN,Lazio,5.75,5.5,C,D
KAMADA,Lazio,5.5,5.5,D,D
LAZZARI,Lazio,36.769999999999996,37.43,A,A
LUIS ALBERTO,Lazio,37.459999999999994,41.620000000000005,A,A
LUIS MAXIMIANO,Lazio,4.0,3.0,D,D
MANDAS,Lazio,0.0,0.0,D,D
MARCOS ANTONIO,Lazio,6.0,6.25,B,B
MARUSIC,Lazio,34.540000000000006,35.010000000000005,A,A
